,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season,MASCOT,URL
10,Atlanta Hawks,72,41,31,0.569,48.3,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,13.2,7.0,4.8,5.0,19.3,19.8,2.3,2021,hawks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hawks.png
11,New York Knicks,72,41,31,0.569,48.4,107.0,39.4,86.5,45.6,11.8,30.0,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,12.9,7.0,5.1,5.4,20.5,17.9,2.3,2021,knicks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/knicks.png
12,Miami Heat,72,40,32,0.556,48.3,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79.0,8.0,33.5,41.5,26.3,14.1,7.9,4.0,4.0,18.9,19.6,0.0,2021,heat,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/heat.png
13,Golden State Warriors,72,39,33,0.542,48.1,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8.0,35.1,43.0,27.7,15.0,8.2,4.8,4.3,21.2,19.5,1.1,2021,warriors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/warriors.png
14,Memphis Grizzlies,72,38,34,0.528,48.3,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,13.3,9.1,5.1,5.2,18.7,18.3,1.0,2021,grizzlies,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/grizzlies.png
15,Boston Celtics,72,36,36,0.5,48.3,112.6,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,1.5,2021,celtics,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/celtics.png
16,Indiana Pacers,72,34,38,0.47200000000000003,48.5,115.3,43.3,91.2,47.4,12.3,34.0,36.4,16.4,20.7,79.2,9.0,33.7,42.7,27.4,13.5,8.5,6.4,5.3,20.2,18.1,0.0,2021,pacers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pacers.png
17,Washington Wizards,72,34,38,0.47200000000000003,48.3,116.6,43.2,90.9,47.5,10.2,29.0,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,14.4,7.3,4.1,4.8,21.6,22.0,-1.8,2021,wizards,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/wizards.png
18,Charlotte Hornets,72,33,39,0.45799999999999996,48.2,109.5,39.9,87.8,45.5,13.7,37.0,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18.0,18.6,-1.9,2021,hornets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hornets.png
19,San Antonio Spurs,72,33,39,0.45799999999999996,48.6,111.1,41.9,90.5,46.2,9.9,28.4,35.0,17.4,22.0,79.2,9.3,34.6,43.9,24.4,11.4,7.0,5.1,5.1,18.0,18.6,-1.7,2021,spurs,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/spurs.png
